short id,full name,state,party,full name,party,state,distinct,canonical URL,url1,url2
keller,"Keller, Ric", Florida,,Ric Keller,R,FL,8,http://house.gov/keller/Frset.htm,gov.house.www/keller,
suekelly,"Kelly, Sue", New York,,Sue W. Kelly,R,NY,19,http://house.gov/suekelly/,gov.house.www/suekelly,
markkennedy,"Kennedy, Mark", Minnesota,,Mark Kennedy,R,MN,6,http://markkennedy.house.gov/,,
patrickkennedy,"Kennedy, Patrick J.", Rhode Island,,Patrick Kennedy,D,RI,1,http://house.gov/patrickkennedy/,,
kildee,"Kildee, Dale E.", Michigan,,Dale Kildee,D,MI,5,http://house.gov/kildee/,gov.house.www/kildee,
kilpatrick,"Kilpatrick, Carolyn Cheeks", Michigan,,Carolyn Cheeks Kilpatrick,D,MI,13,http://house.gov/kilpatrick/,gov.house.www/kilpatrick,
kind,"Kind, Ron", Wisconsin,,Ron Kind,D,WI,3,http://house.gov/kind/,gov.house.www/kind,
king,"King, Pete", New York,,Peter King,R,NY,3,http://house.gov/king/,gov.house.www/king,
steveking,"King, Steve", Iowa,,Steve King,R,IA,5,http://www.house.gov/steveking/,,
kingston,"Kingston, Jack", Georgia,,Jack Kingston,R,GA,1,http://house.gov/kingston/,,
kirk,"Kirk, Mark Steven", Illinois,,Mark Kirk,R,IL,10,http://house.gov/kirk/,gov.house.www/kirk,
kleczka,"Kleczka, Jerry", Wisconsin,,Jerry Kleczka,D,WI,4,http://house.gov/kleczka/,gov.house.www/kleczka,
knollenberg,"Knollenberg, Joe", Michigan,,Joe Knollenberg,R,MI,9,http://house.gov/knollenberg/,gov.house.www/knollenberg,
kolbe,"Kolbe, Jim", Arizona,,Jim Kolbe,R,AZ,8,http://house.gov/kolbe/,gov.house.www/kolbe,
kucinich,"Kucinich, Dennis J.", Ohio,,Dennis Kucinich,D,OH,10,http://house.gov/kucinich/,gov.house.www/kucinich,
lahood,"LaHood, Ray", Illinois,,Ray LaHood,R,IL,18,http://house.gov/lahood/,gov.house.www/lahood,
lampson,"Lampson, Nick", Texas,,Nick Lampson,D,TX,9,http://house.gov/lampson/,gov.house.www/lampson,
langevin,"Langevin, James", Rhode Island,,James Langevin,D,RI,2,http://house.gov/langevin/,gov.house.www/langevin,
lantos,"Lantos, Tom", California,,Tom Lantos,D,CA,12,http://house.gov/lantos/,gov.house.www/lantos,
larsen,"Larsen, Rick", Washington,,Rick Larsen,D,WA,2,http://house.gov/larsen/,gov.house.www/larsen,
larson,"Larson, John B.", Connecticut,,John Larson,D,CT,1,http://house.gov/larson/,gov.house.www/larson,
latham,"Latham, Tom", Iowa,,Tom Latham,R,IA,4,http://house.gov/latham/,gov.house.www/latham,
latourette,"LaTourette, Steven C.", Ohio,,Steven LaTourette,R,OH,14,http://house.gov/latourette/,gov.house.www/latourette,
